구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
종로구,원남동,오라카이 대학로 호텔,2019,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784
종로구,창신동,D-STAY HOSTEL,1968,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148
종로구,돈의동,더 메이 호텔,2020,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056
종로구,숭인동,루나하우스,1970,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178
종로구,익선동,엠제이호텔,2005,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987
종로구,익선동,킹스가든,2012,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263
종로구,관철동,수레지던스,1981,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388
종로구,창신동,동대문 서울달빛,1982,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879
종로구,연건동,브루클린,2025,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322
종로구,숭인동,케이디 호스텔,2019,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554
종로구,장사동,센추럴,1969,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752
종로구,,호스텔 데이,1998,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608
종로구,숭인동,루미아호텔,2017,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559
종로구,창신동,24guesthouse동대문마켓점,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028
종로구,관철동,호스텔 클로이,1985,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846
종로구,권농동,언플러그 안국,1997,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283
종로구,수송동,신라스테이 광화문,2015,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475
종로구,인의동,호텔 아트리움,2004,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645
종로구,낙원동,베스트웨스턴 종로(인사동),2016,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606
