구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,서교동,레아 게스트하우스,2,고위험군,37.55230312,126.9299053,193806.1722,450311.4267,40.90027979,42.25303056973005,-1.3527507797300515,6.7126259910812704
마포구,연남동,YN Stay,1,저위험군,37.55952624,126.9173807,192700.1553,451114.0062,18.60089267,26.797301164228593,-8.196408494228592,6.7126259910812704
마포구,중동,다올 하우스,1,저위험군,37.5654964,126.9104681,192090.0249,451777.1831,38.33927137,38.448872743300925,-0.10960137330092579,6.7126259910812704
마포구,공덕동,Ronnie,2,고위험군,37.5459992,126.9595034,196421.2697,449610.229,34.94579542,37.31761755476619,-2.371822134766184,6.7126259910812704
마포구,창전동,VERVE STAY,0,중위험군,37.55005907,126.9268709,193537.8493,450062.5683,30.97216399,27.714438651463382,3.2577253385366163,6.7126259910812704
마포구,서교동,아르떼 스테이,1,저위험군,37.55460718,126.9109587,192132.2182,450568.567,12.5523166,27.000712980463547,-14.448396380463548,6.7126259910812704
마포구,염리동,지안네이쳐,0,중위험군,37.55298988,126.9465876,195280.326,450386.6805,29.171108,26.386908903403686,2.784199096596314,6.7126259910812704
마포구,노고산동,Stay Wood,1,저위험군,37.55137091,126.9390334,194612.7,450207.4003,17.19501881,37.37828423680117,-20.18326542680117,6.7126259910812704
마포구,서교동,서교 451,2,고위험군,37.55383854,126.914809,192472.3583,450482.9418,39.71906593,37.31761755476619,2.4014483752338123,6.7126259910812704
마포구,연남동,소풍 게스트하우스,0,중위험군,37.55958254,126.9232542,193219.1104,451119.8149,38.67684091,27.564556260553417,11.112284649446586,6.7126259910812704
마포구,창전동,무네미로 아트스테이1,2,고위험군,37.55171685,126.9304696,193855.9842,450246.3207,36.69989863,37.442519547191154,-0.7426209171911538,6.7126259910812704
마포구,서교동,디자인하우스 서교,2,고위험군,37.5517339,126.9165616,192627.0185,450249.213,32.81594983,37.189146933986216,-4.3731971039862145,6.7126259910812704
마포구,공덕동,유성스테이,1,저위험군,37.54688979,126.9625785,196693.0539,449708.9612,24.48086608,27.564556260553417,-3.0836901805534183,6.7126259910812704
마포구,서교동,우디하우스,0,중위험군,37.55260324,126.9267013,193523.0807,450344.9524,30.37088121,27.357575815963465,3.0133053940365357,6.7126259910812704
마포구,동교동,땡스땡스,2,고위험군,37.55257054,126.9309931,193902.3108,450341.036,29.10328138,37.56742153961613,-8.464140159616129,6.7126259910812704
마포구,동교동,윤이네,1,저위험군,37.55746684,126.9242267,193304.8465,450884.9275,19.9508693,27.054242405788536,-7.103373105788535,6.7126259910812704
마포구,동교동,엘라 게스트하우스,2,고위험군,37.55350596,126.9295934,193778.7116,450444.9482,36.20418233,37.6923235320411,-1.4881412020410991,6.7126259910812704
마포구,망원동,삼삼스테이,2,고위험군,37.55837261,126.9006307,191220.0725,450987.3996,37.86861638,37.56742153961613,0.30119484038387156,6.7126259910812704
마포구,망원동,STARSTAY,2,고위험군,37.55593921,126.9000395,191167.5453,450717.3764,50.86238231,37.189146933986216,13.673235376013785,6.7126259910812704
마포구,노고산동,영미하우스 노고산,2,고위험군,37.55268466,126.9320462,193995.3755,450353.6342,38.50146524,37.31761755476619,1.1838476852338147,6.7126259910812704
마포구,염리동,더 하이드아웃 빌라 홍대,2,고위험군,37.54428506,126.945511,195184.6345,449420.6048,35.23067238,39.012716023390794,-3.782043643390793,6.7126259910812704
마포구,연남동,Sunny House,2,고위험군,37.55807066,126.9206644,192990.1537,450952.204,45.6313739,42.39220707557502,3.239166824424977,6.7126259910812704
마포구,성산동,seaven 하우스,0,중위험군,37.56227653,126.9059323,191688.9357,451420.2067,32.2755314,27.614517057523408,4.661014342476591,6.7126259910812704
마포구,공덕동,스테이 디아츠,1,저위험군,37.54544059,126.9588364,196362.2981,449548.2557,23.77191044,27.000712980463547,-3.2288025404635476,6.7126259910812704
마포구,서교동,Terrace stay hongdae,2,고위험군,37.55337789,126.9185228,192800.4726,450431.5242,50.09244412,38.82357872057584,11.268865399424165,6.7126259910812704
