구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,낙원동,베스트웨스턴 종로(인사동),2016,0.1658,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,199006.67370481792,452233.29924313,0,관광숙박업,숙박시설,12,1604.0
종로구,숭인동,아이비씨호텔,2016,0.3595,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,201949.2705145456,452329.7355342991,2,관광숙박업,호텔,22,2997.0
종로구,관철동,호스텔 하루,1967,0.3997,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,198545.2223366013,451854.8205254232,0,관광숙박업,숙박시설,14,588.0
종로구,익선동,ICON,2012,0.1735,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,198951.33905677812,452506.3196915821,0,관광숙박업,근린생활시설,10,861.0
종로구,익선동,호텔 다다-인사,2013,0.1482,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,199006.3786196949,452484.0830550901,1,관광숙박업,숙박시설,10,956.0
종로구,낙원동,종로크라운,1988,0.1947,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,198886.94407205103,452419.4297160971,1,관광숙박업,숙박시설,11,4286.0
종로구,평창동,동화킴스관광호텔,1990,0.5451,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,197733.3915099701,456346.8474161145,2,관광숙박업,숙박시설(관광호텔),6,3170.0
종로구,낙원동,오라카이 인사동 스위츠,2002,0.2337,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,198811.49704462776,452301.9079272357,0,관광숙박업,호텔,30,45510.0
종로구,관수동,호텔베뉴지,1994,0.2195,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,199121.1448369271,451827.7050614305,0,관광숙박업,숙박시설,13,6629.0
종로구,관훈동,아미드 호텔 서울,1985,0.3626,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,198534.5492685304,452256.167278387,0,관광숙박업,숙박시설,18,15679.0
종로구,당주동,포시즌스 호텔 서울,2015,0.6046,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,197758.992986032,452053.4204191853,2,관광숙박업,호텔,32,67265.0
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,0.0959,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,199153.42517668265,452459.1776093727,0,관광숙박업,숙박시설,4,469.0
종로구,운니동,노블관광호텔,2005,0.1556,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,199016.85607084565,452710.0064908718,1,관광숙박업,숙박시설,6,1229.0
종로구,와룡동,바운드 호스텔,2013,0.1556,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,199074.67101795904,452648.89405614894,0,관광숙박업,숙박시설,6,1482.0
종로구,익선동,호텔 이비스앰배서더 인사동,2013,0.1581,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,198977.91063082856,452460.6635213336,1,관광숙박업,호텔,12,14346.0
