좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
22.0,198906.52558246476,552222.2605370608,1983198876904519382300000000,교육연구시설,5.0,1.0,6,45.24
22.0,198906.52558246476,552222.2605370608,1965198870154519541700000000,제2종근린생활시설,5.0,0.0,5,49.81
22.0,198906.52558246476,552222.2605370608,1983198813044519576800000000,제1종근린생활시설,10.0,2.0,12,47.1
23.0,201689.36029146623,552306.0100812571,1954201610494519527500000000,제1종근린생활시설,1.0,0.0,1,48.91
23.0,201689.36029146623,552306.0100812571,1954201617714519568700000000,단독주택,1.0,0.0,1,43.95
23.0,201689.36029146623,552306.0100812571,1972201597524519578300000000,단독주택,1.0,0.0,1,48.36
23.0,201689.36029146623,552306.0100812571,0000201608864519592800000000,,1.0,0.0,1,42.9
23.0,201689.36029146623,552306.0100812571,0000201604924519606800000000,,1.0,0.0,1,42.75
23.0,201689.36029146623,552306.0100812571,0000201615004519619500000000,,1.0,0.0,1,39.12
23.0,201689.36029146623,552306.0100812571,1957201624504519624200000000,제2종근린생활시설,1.0,0.0,1,38.65
23.0,201689.36029146623,552306.0100812571,0000201630284519645000000000,,1.0,0.0,1,37.77
23.0,201689.36029146623,552306.0100812571,1987201590864519646800000000,제1종근린생활시설,3.0,1.0,4,46.24
23.0,201689.36029146623,552306.0100812571,1960201612644519670800000000,제1종근린생활시설,1.0,0.0,1,34.44
23.0,201689.36029146623,552306.0100812571,1966201599884519694000000000,제1종근린생활시설,3.0,0.0,3,37.15
23.0,201689.36029146623,552306.0100812571,0000201623634519699500000000,,1.0,0.0,1,31.06
