구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
중구,(남산동,남산 하이드아웃,2,고위험군,37.55534782,126.9839547,198582.236,450647.1639,57.20054365,55.01351546168918,2.187028188310819,3.8845674748567807
중구,신당동,랜디모어,2,고위험군,37.55887898,127.0088564,200782.5175,451038.9965,32.43703662,40.23981824408689,-7.80278162408689,3.8845674748567807
중구,(필동,섭 스테이,2,고위험군,37.55767439,126.9970922,199743.0717,450905.2684,49.93309602,43.806356105346495,6.1267399146535055,3.8845674748567807
중구,예장동,태라 인 명동,2,고위험군,37.55480677,126.9849211,198667.615,450587.0996,42.9253076,40.04503040704887,2.8802771929511266,3.8845674748567807
중구,(남산동,보로하우스,2,고위험군,37.5548131,126.9847312,198650.8398,450587.8049,39.89904003,40.43186259046241,-0.5328225604624066,3.8845674748567807
중구,중림동,서울로 드림 하우스,2,고위험군,37.55441998,126.9665703,197046.1105,450544.5889,44.46249585,54.82695809663868,-10.364462246638674,3.8845674748567807
중구,(남산동,케이브 명동,2,고위험군,37.55568395,126.9842106,198604.8492,450684.4665,46.57411602,40.43186259046241,6.14225342953759,3.8845674748567807
중구,(광희동,동대문 도도,2,고위험군,37.56099125,127.0076842,200678.9284,451273.4244,36.24904379,39.803603228748216,-3.554559438748214,3.8845674748567807
중구,신당동,신당동 스마일 스테이,2,고위험군,37.56102698,127.0135953,201201.1878,451277.4491,29.67571921,38.88453385680824,-9.20881464680824,3.8845674748567807
중구,(광희동,DDP NEST,2,고위험군,37.56041505,127.0074279,200656.2858,451209.4712,37.75792958,39.70758105556046,-1.949651475560458,3.8845674748567807
중구,묵정동,모노블룸 스테이,2,고위험군,37.55861369,127.000778,200068.7394,451009.5159,34.36070964,40.141052580236625,-5.780342940236622,3.8845674748567807
중구,신당동,스틸 하우스 신당,2,고위험군,37.56150693,127.0118869,201050.2443,451330.6974,42.73245199,40.28920107601203,2.443250913987974,3.8845674748567807
중구,황학동,고유홈,2,고위험군,37.56586802,127.0206896,201827.8744,451814.8619,40.40560456,39.99564757512373,0.40995698487626697,3.8845674748567807
중구,(남산동,동동 스테이,2,고위험군,37.55539114,126.9844476,198625.7869,450651.9646,47.47970872,40.43186259046241,7.047846129537589,3.8845674748567807
중구,중림동,시스앤브로 JL,2,고위험군,37.55580362,126.9628839,196720.4354,450698.2787,34.31496082,40.28920107601203,-5.974240256012024,3.8845674748567807
중구,(필동,남산벚꽃스테이,2,고위험군,37.55784545,126.9968497,199721.6519,450924.2548,51.39342502,44.12460102219735,7.268823997802649,3.8845674748567807
